model,candidate,regularization,epochs,initial_lr,threshold,precision,recall,f1,pr_auc,fit_seconds,gamma,n_components,C
CVM-RBF,3,,,,-2.002877486758663,0.7848333333333334,1.0,0.8794471939485221,0.7576135069403785,5.479225158691406,0.02,,5.0
CVM-RBF,1,,,,-1.124459622074861,0.7858574052429455,0.9994691017201104,0.8798840904837097,0.7469736955842917,4.5817742347717285,0.01,,1.0
CVM-RBF,2,,,,-1.4277791603710859,0.7848333333333334,1.0,0.8794471939485221,0.7387441550515865,4.7712297439575195,0.02,,2.0
Linear-SGD-SVM,2,5e-05,12.0,0.05,-1.1547582149505615,0.863001912045889,0.9584837545126353,0.908240265619785,0.9424802070970084,0.12913274765014648,,,
Linear-SGD-SVM,1,1e-05,10.0,0.05,-1.145277738571167,0.8628276257891716,0.95774049692079,0.9078099838964417,0.9418180948989339,0.11256265640258789,,,
Linear-SGD-SVM,3,0.0001,12.0,0.04,-1.1565580368041992,0.8615325889874988,0.9585899341686133,0.9074734884650991,0.9409621590477558,0.14038801193237305,,,
Linear-SGD-SVM,4,0.0005,10.0,0.03,-1.1713744401931763,0.8573996971990916,0.9620938628158845,0.9067347142995116,0.9380596752145947,0.10885310173034668,,,
RBF-Sampler-SGD-SVM,1,5e-05,6.0,,0.007163712754845619,0.8303107627813725,0.9674028456147802,0.8936295424446993,0.9240206974534314,0.9434041976928711,0.01,512.0,
RBF-Sampler-SGD-SVM,2,5e-05,6.0,,0.0017042666440829635,0.8328264676066722,0.9595455510724146,0.891706546943111,0.9205637217545607,1.0017118453979492,0.02,512.0,
RBF-Sampler-SGD-SVM,3,5e-05,6.0,,0.0005502885906025767,0.8278658647712775,0.9646421745593544,0.8910357002741204,0.9190787311470849,2.0153818130493164,0.02,1024.0,
RBF-Sampler-SGD-SVM,4,0.0001,6.0,,0.00021557859145104885,0.8075498324219439,0.9721809301337864,0.8822509153974614,0.9118556273103167,2.228238582611084,0.05,1024.0,
